,B1_mean,B1_std,B1_skew,B1_kurtosis,B1_entropy,B1_rms,B1_max,B1_p2p,B1_crest,B1_clearence,B1_shape,B1_impulse,RUL(min)
0,0.058332878,0.073478019,0.083929076,0.629118399,4.811405515,0.074180019,0.454,0.84,6.120246445,0.049036531,1.271667411,7.78291795,9830
1,0.058995215,0.075339436,0.052054434,0.648930114,4.835309772,0.075381789,0.388,0.757,5.147131748,0.049522849,1.27776108,6.57680462,9820
2,0.060236437,0.076188813,0.032869475,0.514257751,4.848342529,0.076227618,0.503,0.903,6.598658249,0.050764969,1.265473546,8.350427454,9810
3,0.061455442,0.078694478,0.04152334,1.158351638,4.761550956,0.078725509,0.608,1.184,7.723036773,0.051552919,1.281017695,9.893346767,9800
4,0.06136076,0.078440035,0.028133928,0.603647091,4.875061717,0.078474851,0.391,0.782,4.982487928,0.051292805,1.278909383,6.372150561,9790
5,0.061664827,0.078295928,0.026859298,0.45689298,4.876221537,0.078310702,0.439,0.805,5.605874918,0.051840354,1.269941153,7.119131256,9780
6,0.061943894,0.0786187,0.058508908,0.479035128,4.879128681,0.078633131,0.408,0.796,5.188652624,0.052042771,1.269425055,6.586605642,9770
7,0.061230529,0.077748453,0.082494035,0.472484754,4.868507385,0.077772869,0.415,0.749,5.336051051,0.051475396,1.27016491,6.777664801,9760
8,0.06227975,0.079007376,-0.008154247,0.405109275,4.886069016,0.079028571,0.386,0.747,4.884309487,0.052337021,1.268928845,6.197841194,9750
9,0.059890278,0.075688023,0.046384594,0.325912962,4.843950504,0.075715364,0.378,0.722,4.992381751,0.050489748,1.264234637,6.311541933,9740
10,0.062371258,0.079224584,0.033481583,0.455471769,4.887429577,0.079242874,0.415,0.815,5.237063987,0.052406679,1.270503045,6.653705744,9730
11,0.060837053,0.077625519,0.019470703,0.642049706,4.865055974,0.077639128,0.474,0.913,6.105169045,0.051032943,1.276181612,7.791304473,9720
12,0.061090141,0.077367385,0.025676467,0.365249344,4.865143092,0.077404192,0.4,0.778,5.167678788,0.051405433,1.267048829,6.547701358,9710
13,0.062598662,0.079853565,0.036634757,0.59914168,4.893724205,0.079858415,0.432,0.852,5.409573962,0.052503669,1.275720789,6.901105964,9700
14,0.06234069,0.079183565,0.024793227,0.551635714,4.886176973,0.079217039,0.422,0.805,5.327136751,0.052439335,1.270711608,6.769254509,9690
15,0.061629767,0.078648948,-0.013387632,0.553607359,4.878412334,0.078661809,0.371,0.725,4.716392908,0.051722903,1.276360647,6.019818305,9680
