mean,std,rms,max,min,peak_to_peak,skewness,kurtosis,crest_factor,shape_factor,impulse_factor,clearance_factor,entropy,fft_mean,fft_std,fft_max,energy,RUL(min)
-0.010195996,0.073474931,0.074178999,0.454,-0.386,0.84,0.083999588,0.629209202,6.12033067,1.271659845,7.782978752,9.258404035,-71.36426626,7.553473201,7.600378628,433.1677423,112.691688,9830
-0.00258501,0.075338121,0.075382457,0.369,-0.388,0.757,0.052145727,0.648742409,5.147086158,1.277741724,6.57664674,7.834512548,-77.76765909,7.91634474,7.33799066,363.1219004,116.377903,9820
-0.002483984,0.076189293,0.076229774,0.503,-0.4,0.903,0.032810401,0.513893717,6.598471575,1.265456249,8.350077086,9.907937937,-64.21763129,7.892903606,7.539049607,345.9139169,119.00884,9810
-0.002276611,0.078690751,0.078723676,0.608,-0.576,1.184,0.041489001,1.158528502,7.723216538,1.281033126,9.893696223,11.79419695,-47.81013376,8.128631897,7.807342362,358.0888258,126.923105,9800
-0.002403857,0.078437464,0.078474291,0.391,-0.391,0.782,0.028226012,0.60361724,4.982523529,1.278895524,6.372127037,7.622801547,-72.5496314,8.047517936,7.840578994,326.5587403,126.120229,9790
-0.001623096,0.07829782,0.078314641,0.439,-0.366,0.805,0.026854939,0.456498018,5.605592929,1.269929282,7.118706605,8.46778902,-70.30491373,8.039572786,7.811963908,300.8258201,125.607589,9780
-0.001606445,0.078616032,0.078632443,0.388,-0.408,0.796,0.058598871,0.479024871,5.188697986,1.2694129,6.586600158,7.839628719,-70.95132733,7.941799658,7.975570626,437.9963542,126.629092,9770
-0.00202666,0.07774647,0.07777288,0.415,-0.334,0.749,0.082587867,0.472390731,5.336050289,1.270148106,6.777574166,8.061922289,-76.31210628,7.861853494,7.883598051,387.8670498,123.875756,9760
-0.001916211,0.079006195,0.07902943,0.386,-0.361,0.747,-0.008060884,0.404906123,4.884256419,1.26891008,6.197682204,7.375026387,-75.29363339,7.972528796,8.026424919,374.0672421,127.910928,9750
-0.002096631,0.075688526,0.07571756,0.378,-0.344,0.722,0.04632446,0.32557575,4.992236946,1.264217598,6.3112738,7.486310653,-80.67091588,7.613844594,7.715839091,309.7967415,117.414889,9740
-0.00179126,0.079220868,0.079241116,0.4,-0.415,0.815,0.033522202,0.455616113,5.237180121,1.270513037,6.653905623,7.919087934,-68.91193504,7.922829119,8.117361938,404.7037485,128.597085,9730
-0.001555029,0.077623334,0.077638908,0.474,-0.439,0.913,0.019566731,0.641964748,6.105186326,1.276165542,7.791228415,9.287940351,-62.71975738,7.788189113,7.927321373,284.6827743,123.449345,9720
-0.00245127,0.077365757,0.077404581,0.4,-0.378,0.778,0.025771943,0.365108124,5.167652812,1.267030985,6.54757623,7.781061466,-73.63806238,7.722100748,7.949618223,426.5601934,122.705288,9710
-0.001033984,0.079857994,0.079864687,0.42,-0.432,0.852,0.036752483,0.598692264,5.409149089,1.275720091,6.900560165,8.227379811,-65.41063057,8.026373032,8.138050634,295.5449711,130.628982,9700
