mean,std,rms,max,min,peak_to_peak,skewness,kurtosis,crest_factor,shape_factor,impulse_factor,clearance_factor,entropy,fft_mean,fft_std,fft_max,energy,RUL(min)
-0.093751514,0.07750779,0.121642113,0.256,-0.53,0.786,-0.05318651,0.292585584,4.357043667,1.192548617,5.195986399,5.938583189,-72.84854843,7.848090303,20.52927639,1920.031,303.038541,21550
-0.09507627,0.076739067,0.122181756,0.242,-0.625,0.867,-0.03298921,0.292009602,5.115329994,1.187129945,6.072561416,6.916355908,-66.38787944,7.777183815,20.74552698,1947.162,305.733252,21540
-0.096572607,0.077096365,0.123572319,0.286,-0.432,0.718,-0.028982193,0.173631342,3.495928567,1.18773086,4.152222243,4.739631248,-79.93356655,7.769573292,21.05623175,1977.807,312.732017,21530
-0.095974609,0.076527937,0.12275036,0.244,-0.483,0.727,-0.050407358,0.320201879,3.934815357,1.187377428,4.672110938,5.325721455,-79.42934566,7.881408951,20.85935299,1965.56,308.585488,21520
-0.095228809,0.076044518,0.121865888,0.266,-0.571,0.837,-0.044496458,0.341200617,4.68547852,1.187478296,5.563904051,6.336915477,-69.06030026,7.756331983,20.72960236,1950.286,304.154514,21510
-0.094847461,0.076280228,0.12171571,0.237,-0.427,0.664,-0.034998185,0.143812037,3.508174922,1.189695349,4.173659388,4.771200833,-87.28121925,7.824957762,20.64923923,1942.476,303.405342,21500
-0.095098047,0.076789108,0.122230134,0.256,-0.464,0.72,-0.041831746,0.205967174,3.796117915,1.18906782,4.513841652,5.146255933,-79.8519106,7.709241242,20.77841713,1947.608,305.97541,21490
-0.095250293,0.076453778,0.12213844,0.251,-0.588,0.839,-0.034719933,0.333762322,4.814209186,1.18654021,5.71225278,6.506872726,-68.70801945,7.779262967,20.75544004,1950.726,305.516514,21480
-0.096090723,0.07601221,0.122520541,0.229,-0.479,0.708,-0.056395993,0.23570113,3.909548517,1.187695573,4.643353466,5.295958435,-82.10653145,7.72969201,20.89929807,1967.938,307.431076,21470
-0.095156689,0.075768523,0.121637431,0.298,-0.542,0.84,-0.01502481,0.186807421,4.455865238,1.187020475,5.289203272,6.034249232,-69.41199063,7.84887311,20.66037919,1948.809,303.015211,21460
-0.094445752,0.07657979,0.121591383,0.247,-0.442,0.689,-0.043412038,0.154810035,3.635126033,1.189809475,4.325107397,4.936693882,-83.85008146,7.810702202,20.60235408,1934.249,302.785829,21450
-0.095257861,0.076729914,0.122317373,0.305,-0.581,0.886,0.003255146,0.248264391,4.749938497,1.186194917,5.6343529,6.418164572,-64.97641888,7.761525383,20.78479471,1950.881,306.412335,21440
-0.095297998,0.075799339,0.121767189,0.247,-0.579,0.826,-0.035374014,0.370345726,4.754975501,1.186046492,5.639622012,6.423332073,-70.4658679,7.651626235,20.76313929,1951.703,303.662045,21430
-0.095353516,0.07617994,0.122047844,0.22,-0.54,0.76,-0.026631589,0.164960151,4.424494389,1.18693478,5.251586274,5.98502533,-76.47662918,7.739524062,20.76935956,1952.84,305.063448,21420
-0.094699561,0.075141206,0.120889237,0.227,-0.513,0.74,-0.023807565,0.155139358,4.24355395,1.186473924,5.034866107,5.741582958,-78.98480596,7.639581473,20.60583749,1939.447,299.298973,21410
-0.095047998,0.076042624,0.121723468,0.266,-0.598,0.864,-0.097307039,0.389530408,4.912774926,1.191190757,5.852052082,6.685226345,-67.00472547,7.786842447,20.68392564,1946.583,303.444021,21400
-0.09527041,0.076125161,0.121948723,0.217,-0.562,0.779,-0.058798126,0.252805088,4.608494331,1.18739171,5.472087966,6.230418691,-74.5409373,7.87793804,20.69747918,1951.138,304.568138,21390
-0.09552251,0.07656364,0.122419528,0.303,-0.615,0.918,-0.072327953,0.466956719,5.02370832,1.188955631,5.972966295,6.806543212,-62.91304902,7.94197397,20.75379931,1956.301,306.924355,21380
-0.09578916,0.077689987,0.123334088,0.256,-0.464,0.72,-0.043489206,0.164851215,3.762139142,1.190683257,4.479516087,5.119899025,-79.11892947,7.831274611,20.93108129,1961.762,311.527368,21370
-0.094947705,0.077126753,0.122325805,0.271,-0.466,0.737,-0.079634183,0.14668997,3.809498725,1.192883217,4.544287096,5.201647623,-78.15519963,7.827655167,20.73178944,1944.529,306.454583,21360
-0.096162793,0.076622752,0.122956614,0.273,-0.461,0.734,-0.055159265,0.297780832,3.749289976,1.189200673,4.458658164,5.093886016,-78.35285657,7.801308274,20.93195152,1969.414,309.623376,21350
-0.094673486,0.077595365,0.122409598,0.261,-0.508,0.769,-0.061288719,0.319072419,4.15000137,1.192815445,4.95018573,5.661960103,-74.1245307,7.848679905,20.70833478,1938.913,306.874567,21340
-0.094592188,0.076813939,0.121852629,0.237,-0.652,0.889,-0.026156379,0.410951171,5.350725754,1.18734684,6.353167315,7.23114194,-64.66381014,7.884253606,20.61976432,1937.248,304.088334,21330
-0.094932715,0.077591328,0.122607645,0.249,-0.542,0.791,-0.063769645,0.331811713,4.420605263,1.192452547,5.271362005,6.026812241,-72.22654894,8.018775293,20.69068834,1944.222,307.868356,21320
-0.094035156,0.078373064,0.122413021,0.227,-0.432,0.659,-0.062154508,0.110388491,3.529036338,1.196667625,4.223083532,4.845412577,-86.05213316,7.995304671,20.59277654,1925.84,306.89173,21310
-0.094535156,0.077071095,0.121970691,0.291,-0.522,0.813,-0.061408093,0.409483461,4.279716667,1.19148478,5.099217271,5.826554088,-70.68311969,7.901444667,20.62180093,1936.08,304.677878,21300
-0.094195459,0.076886291,0.12159065,0.254,-0.479,0.733,-0.016320942,0.098758286,3.939447632,1.190981381,4.691808781,5.363414107,-78.98295796,7.775361273,20.59224523,1929.123,302.782183,21290
-0.095451465,0.077857336,0.123177704,0.259,-0.435,0.694,-0.026438276,0.143345767,3.53148325,1.191524688,4.207849476,4.810404967,-81.95928812,7.947320771,20.83672675,1954.846,310.737856,21280
-0.095021924,0.075918587,0.121625646,0.222,-0.527,0.749,-0.071432211,0.262283903,4.332967731,1.190495146,5.158377053,5.894616985,-77.66096613,7.925365215,20.61700378,1946.049,302.956499,21270
-0.094842725,0.076109636,0.121605177,0.271,-0.483,0.754,-0.069106249,0.136901029,3.971870373,1.190514423,4.728568963,5.397110338,-76.97117887,7.82109531,20.63741567,1942.379,302.854535,21260
-0.095195801,0.076936288,0.122398664,0.242,-0.547,0.789,-0.07293442,0.341068103,4.469003033,1.191351292,5.324152536,6.084755908,-72.856027,7.85682895,20.75262352,1949.61,306.819746,21250
-0.094726367,0.076262402,0.121610191,0.21,-0.476,0.686,-0.026613582,0.176203272,3.914145634,1.187772837,4.649115863,5.307425615,-84.62120918,7.81393612,20.62984319,1939.996,302.879512,21240
-0.094904883,0.07706283,0.122252266,0.234,-0.53,0.764,-0.047972982,0.19992197,4.33529797,1.191618544,5.166021453,5.908149789,-74.98994868,8.001300296,20.65248869,1943.652,306.086226,21230
-0.095154785,0.075696418,0.121591039,0.227,-0.496,0.723,-0.08146747,0.25157531,4.079247979,1.188860334,4.849656115,5.526640754,-80.47142693,7.822752788,20.66450969,1948.77,302.784118,21220
