mean,std,rms,max,min,peak_to_peak,skewness,kurtosis,crest_factor,shape_factor,impulse_factor,clearance_factor,entropy,fft_mean,fft_std,fft_max,energy,RUL(min)
-0.093816504,0.090647914,0.130455282,0.359,-0.674,1.033,-0.092080008,0.209830135,5.166521343,1.217490371,6.290189988,7.308497951,-47.75712808,8.346398779,21.42724624,1921.362,348.540532,21550
-0.095619531,0.090257969,0.131489908,0.291,-0.645,0.936,-0.101447964,0.229732976,4.905319441,1.215361668,5.961737215,6.917049808,-52.90817377,8.31115962,21.73168052,1958.288,354.090922,21540
-0.096212549,0.09023436,0.131905626,0.339,-0.613,0.952,-0.092078867,0.209044823,4.647261972,1.215179206,5.647256113,6.553303202,-52.09921697,8.28383706,21.84700952,1970.433,356.333449,21530
-0.095776953,0.090272215,0.1316142,0.286,-0.598,0.884,-0.105806891,0.189362971,4.543582694,1.216957577,5.529347388,6.433608779,-56.25062431,8.44294902,21.71047907,1961.512,354.760654,21520
-0.095951807,0.088861405,0.130778815,0.349,-0.725,1.074,-0.091987477,0.261213976,5.543711336,1.211556381,6.716518846,7.770499674,-46.82757639,8.276063808,21.68714425,1965.093,350.271457,21510
-0.094531836,0.089867574,0.130431778,0.322,-0.701,1.023,-0.048994353,0.227438091,5.374457117,1.211313951,6.510154885,7.532094695,-48.57641398,8.38482951,21.4736286,1936.012,348.414952,21500
-0.095353711,0.090664658,0.131576633,0.261,-0.598,0.859,-0.083260784,0.125575998,4.544879941,1.215113627,5.522545548,6.403562024,-57.44752367,8.278415127,21.73094402,1952.844,354.558164,21490
-0.094996338,0.088760043,0.130010189,0.264,-0.613,0.877,-0.069869213,0.139406624,4.71501505,1.211687187,5.713123322,6.618698261,-57.30820034,8.201784768,21.53383905,1945.525,346.166259,21480
-0.096697852,0.088710137,0.131224857,0.288,-0.61,0.898,-0.063985148,0.124507963,4.648509557,1.210498157,5.627012253,6.518329847,-56.09984155,8.234095719,21.82569838,1980.372,352.664842,21470
-0.094948779,0.088528386,0.129817355,0.293,-0.491,0.784,-0.085207936,-0.009855588,3.782236964,1.214060169,4.591863248,5.331290557,-64.52355214,8.269682737,21.47980421,1944.551,345.140137,21460
-0.094811279,0.089322079,0.130259788,0.356,-0.598,0.954,-0.078362191,0.042864564,4.590825824,1.214527445,5.57568396,6.471750067,-52.40914351,8.351005512,21.49076119,1941.735,347.496703,21450
-0.094641553,0.090108421,0.130677279,0.259,-0.535,0.794,-0.079002393,0.031422133,4.094055264,1.217310563,4.98373672,5.800151251,-62.47978638,8.335659143,21.5333249,1938.259,349.727767,21440
-0.094766846,0.088617277,0.129745045,0.264,-0.598,0.862,-0.057976487,0.166628484,4.609039198,1.21063305,5.57985518,6.45469417,-58.4067313,8.169980391,21.49262355,1940.825,344.755749,21430
-0.095287109,0.088408623,0.129983529,0.305,-0.583,0.888,-0.073059366,0.053398253,4.485183662,1.214039231,5.445188924,6.323485938,-57.02229344,8.19767122,21.5585237,1951.48,346.0243,21420
-0.09460293,0.089008712,0.129893284,0.398,-0.569,0.967,-0.064771939,0.073681175,4.380519023,1.2147342,5.32116627,6.183754312,-51.76106313,8.260340427,21.46161259,1937.468,345.54399,21410
-0.094678809,0.089694055,0.130418941,0.229,-0.632,0.861,-0.104269876,0.272322069,4.845921865,1.21543976,5.889926108,6.838973536,-57.9568232,8.376996627,21.48852028,1939.022,348.346374,21400
-0.095519727,0.090351575,0.131481654,0.264,-0.581,0.845,-0.055270805,0.09089411,4.418867447,1.21268676,5.358702045,6.20999249,-58.34720036,8.39649459,21.68878179,1956.244,354.04647,21390
-0.095251074,0.090993471,0.131729188,0.342,-0.808,1.15,-0.073108662,0.39910103,6.133796266,1.21315049,7.441217947,8.622580878,-42.66075418,8.587605892,21.62044576,1950.742,355.380816,21380
-0.095459277,0.090077156,0.131249258,0.249,-0.557,0.806,-0.052749988,-0.020787923,4.243833522,1.212684171,5.146429735,5.970613329,-61.48226167,8.315404394,21.68576292,1955.006,352.79601,21370
-0.094619873,0.090004748,0.130590103,0.273,-0.51,0.783,-0.086076829,0.068757369,3.905349545,1.21481097,4.744261469,5.501662272,-63.38323429,8.387696797,21.50022911,1937.815,349.261313,21360
-0.095977881,0.090200231,0.131711181,0.281,-0.667,0.948,-0.104819798,0.231413621,5.064110692,1.214426915,6.149992324,7.130230697,-52.13817638,8.328158323,21.78488363,1965.627,355.283665,21350
-0.094673193,0.091052219,0.131352656,0.359,-0.593,0.952,-0.059926261,0.063057038,4.514564222,1.215035693,5.485356667,6.364432045,-51.63320706,8.378389907,21.60359118,1938.907,353.352093,21340
-0.095022168,0.09154118,0.13194317,0.364,-0.544,0.908,-0.051735553,0.090564288,4.122987205,1.21478355,5.008537034,5.816905961,-53.76348027,8.386850861,21.70517828,1946.054,356.53632,21330
-0.09407085,0.091714155,0.131380406,0.339,-0.645,0.984,-0.091302743,0.209315357,4.90940789,1.21987101,5.988844363,6.969751651,-49.42960136,8.596621086,21.4666357,1926.571,353.501409,21320
-0.094018213,0.0914393,0.131150943,0.288,-0.505,0.793,-0.068888838,0.067314487,3.850525113,1.218012131,4.689986301,5.450946897,-61.61590791,8.405497412,21.50917203,1925.493,352.267671,21310
-0.095254102,0.091217442,0.131886184,0.356,-0.527,0.883,-0.055566586,0.144656971,3.995869651,1.216143991,4.859552864,5.648408518,-55.62591114,8.465221826,21.68831923,1950.804,356.228414,21300
-0.094608691,0.09048208,0.130911463,0.286,-0.535,0.821,-0.067379388,0.05505716,4.086731493,1.215901091,4.969061281,5.769502631,-60.22068622,8.337078001,21.55891718,1937.586,350.982374,21290
-0.095907666,0.091369494,0.132463825,0.315,-0.664,0.979,-0.067421291,0.223578312,5.012689319,1.212461305,6.077691833,7.034845061,-49.67291575,8.446551174,21.82640753,1964.189,359.355697,21280
-0.095247217,0.090713883,0.131533421,0.288,-0.632,0.92,-0.073190571,0.147903364,4.804862467,1.213145103,5.828995372,6.753252446,-53.55574479,8.466564365,21.64338256,1950.663,354.325319,21270
-0.094282422,0.090793521,0.130891705,0.256,-0.522,0.778,-0.088110028,-0.029649347,3.988029642,1.218405248,4.859036243,5.652287429,-63.34602141,8.370553311,21.51413887,1930.904,350.876436,21260
-0.09585791,0.090589844,0.131891086,0.261,-0.657,0.918,-0.113295458,0.296604806,4.981382879,1.214861096,6.051688266,7.015165845,-53.791461,8.370236894,21.78011963,1963.17,356.254898,21250
-0.094769141,0.091390005,0.131656078,0.305,-0.542,0.847,-0.039200817,0.066973032,4.11678676,1.213913928,4.997424788,5.802721456,-57.72826893,8.432285538,21.62908907,1940.872,354.986454,21240
-0.094969092,0.091927993,0.13217369,0.332,-0.508,0.84,-0.075110005,0.120744908,3.843427539,1.216981968,4.677382011,5.431267002,-57.84230944,8.483142592,21.69173225,1944.967,357.783231,21230
-0.094989404,0.08975711,0.130687894,0.334,-0.483,0.817,-0.055366386,0.179705322,3.695828169,1.212677907,4.481849169,5.192358016,-61.12906487,8.312509276,21.57492124,1945.383,349.784589,21220
-0.094964551,0.090850577,0.131423336,0.249,-0.544,0.793,-0.106920966,0.049263394,4.139295332,1.217923444,5.041344827,5.862055719,-61.93234546,8.331435675,21.65671776,1944.874,353.732468,21210
-0.096304346,0.090518381,0.132166956,0.266,-0.618,0.884,-0.074128932,0.179580943,4.675904015,1.212577274,5.669894945,6.567847954,-55.78804637,8.287737102,21.88604903,1972.313,357.746775,21200
-0.095300537,0.091368642,0.13202432,0.303,-0.72,1.023,-0.101525808,0.152369802,5.45354067,1.217704515,6.640801097,7.714724248,-47.70137356,8.354521624,21.75269327,1951.755,356.975025,21190
-0.095085889,0.09000078,0.130925424,0.281,-0.62,0.901,-0.081345368,0.095553838,4.735520289,1.213518417,5.746641087,6.655893976,-54.98158172,8.366395061,21.59226756,1947.359,351.057235,21180
-0.095233691,0.089664504,0.130802062,0.266,-0.559,0.825,-0.051745891,0.070830763,4.27363295,1.212710346,5.182678892,6.010419672,-60.57105045,8.347072101,21.5977961,1950.386,350.395992,21170
-0.095286768,0.091081706,0.131815952,0.322,-0.554,0.876,-0.070128702,0.166330853,4.202829708,1.2152124,5.107330777,5.930479119,-56.12178046,8.408249853,21.70483524,1951.473,355.849119,21160
-0.095909375,0.089413665,0.13112365,0.31,-0.498,0.808,-0.04648471,0.016369533,3.797941852,1.211278798,4.60036644,5.33329672,-61.83802169,8.214053748,21.74938808,1964.224,352.121072,21150
-0.09496333,0.090212369,0.130982081,0.273,-0.527,0.8,-0.056975101,0.040967345,4.023451108,1.214419503,4.886157496,5.677217845,-62.14146624,8.369753349,21.58680013,1944.849,351.361139,21140
-0.093763721,0.090613395,0.130393338,0.383,-0.544,0.927,-0.079530468,0.100556968,4.17199227,1.217265618,5.078422748,5.894833549,-53.17219629,8.383765754,21.400258,1920.281,348.209617,21130
-0.0961146,0.089824335,0.131553895,0.33,-0.544,0.874,-0.066887252,0.152642864,4.135187319,1.210991046,5.007674816,5.796930731,-56.94953347,8.404380473,21.74833077,1968.427,354.435633,21120
-0.095377686,0.090264992,0.131318969,0.247,-0.652,0.899,-0.061535986,0.089503624,4.965010028,1.214340153,6.029211035,6.996588606,-55.16923093,8.336850096,21.6788461,1953.335,353.170877,21110
-0.095990283,0.089231458,0.131058718,0.286,-0.615,0.901,-0.079135567,0.178229035,4.692553139,1.212870013,5.691456985,6.598207483,-55.50984738,8.389550246,21.68156786,1965.881,351.772419,21100
-0.095435938,0.090115038,0.131258288,0.281,-0.559,0.84,-0.055230052,0.079980159,4.25877869,1.214104099,5.170600664,6.004065032,-59.10406196,8.333128715,21.67799919,1954.528,352.844558,21090
-0.094409326,0.0919251,0.131770045,0.261,-0.496,0.757,-0.06526328,0.003552617,3.764133179,1.217571269,4.583100413,5.327988017,-64.21146332,8.478001845,21.59317687,1933.503,355.601303,21080
-0.095569434,0.091059894,0.132005382,0.271,-0.708,0.979,-0.10387807,0.239458604,5.363417664,1.215049354,6.516817169,7.555440153,-49.88029666,8.502604015,21.71706843,1957.262,356.872622,21070
-0.095303271,0.090503601,0.131429127,0.32,-0.603,0.923,-0.093229552,0.193806612,4.58802409,1.213957777,5.569667523,6.454293573,-53.49069348,8.370017235,21.67300803,1951.811,353.763643,21060
-0.095016211,0.090106633,0.130947645,0.303,-0.657,0.96,-0.055120286,0.20216773,5.017272374,1.212713953,6.084516214,7.051265849,-51.55348834,8.430746265,21.56371941,1945.932,351.17641,21050
-0.095716895,0.090298702,0.131588675,0.337,-0.645,0.982,-0.071268404,0.175314012,4.901637607,1.213592956,5.948592874,6.903627154,-50.64083583,8.365426226,21.73188129,1960.282,354.623068,21040
-0.094838428,0.090944935,0.131397521,0.3,-0.593,0.893,-0.092041174,0.215159346,4.513022735,1.216996404,5.49233244,6.378400086,-55.02212056,8.514614616,21.57073578,1942.291,353.593519,21030
-0.093505664,0.090523147,0.130145109,0.32,-0.662,0.982,-0.079108007,0.247823042,5.086629891,1.216831396,6.18957095,7.190006018,-50.40267571,8.436599509,21.32535119,1914.996,346.885106,21020
-0.094966406,0.091113833,0.131606797,0.354,-0.586,0.94,-0.068422076,0.17185313,4.452657575,1.212717002,5.399813546,6.250450308,-52.04562798,8.487771033,21.61896202,1944.912,354.720746,21010
-0.096383203,0.089261343,0.131367078,0.288,-0.588,0.876,-0.065870946,0.160310237,4.4760073,1.20979173,5.415036612,6.260623505,-57.03101268,8.289063861,21.79386698,1973.928,353.429692,21000
-0.095365039,0.089299373,0.130647881,0.271,-0.557,0.828,-0.063317006,0.090736613,4.263368045,1.212242354,5.168235317,5.993447394,-60.45754016,8.282514073,21.61540067,1953.076,349.570432,20990
-0.095487842,0.089391173,0.130800267,0.256,-0.62,0.876,-0.10716353,0.13160322,4.740051504,1.214813756,5.758279772,6.681265224,-57.12778252,8.395653704,21.60169688,1955.591,350.386375,20980
-0.094672754,0.088246699,0.129423376,0.344,-0.725,1.069,-0.106156194,0.353669683,5.601770116,1.215203967,6.807293267,7.898910276,-47.36478791,8.264355333,21.40816665,1938.898,343.048402,20970
-0.095249854,0.088758847,0.130194729,0.271,-0.544,0.815,-0.086779872,0.107531631,4.178356551,1.213972794,5.072411179,5.887414349,-61.80004701,8.199399812,21.58065197,1950.717,347.149671,20960
-0.09502373,0.089883273,0.130799511,0.283,-0.608,0.891,-0.083604453,0.158939602,4.648335416,1.214982505,5.647646209,6.557324888,-55.83075094,8.380355917,21.56553601,1946.086,350.382328,20950
-0.095536572,0.088769419,0.130411834,0.3,-0.593,0.893,-0.036751318,0.141374075,4.547133355,1.208963798,5.497319609,6.359459589,-56.31119159,8.240231253,21.61785116,1956.589,348.308407,20940
-0.095189844,0.089835309,0.130887314,0.291,-0.62,0.911,-0.073239769,0.222440116,4.736899088,1.213898617,5.75011525,6.674612906,-54.70994131,8.391026883,21.58726291,1949.488,350.852896,20930
-0.095346533,0.091044608,0.131833539,0.315,-0.625,0.94,-0.03842897,0.090604925,4.740826981,1.212411042,5.74783098,6.662219449,-52.02729039,8.410919163,21.71136032,1952.697,355.944081,20920
-0.095102881,0.091367009,0.131880583,0.308,-0.554,0.862,-0.067961639,0.144336641,4.200770018,1.215489793,5.105993081,5.928923633,-56.65771736,8.510213448,21.65655509,1947.707,356.198159,20910
-0.095086865,0.090467674,0.131247522,0.317,-0.669,0.986,-0.067581503,0.204380942,5.097239089,1.214631549,6.191267412,7.187502809,-50.08879463,8.451159611,21.59938611,1947.379,352.786679,20900
-0.094687451,0.090768723,0.13116659,0.339,-0.696,1.035,-0.047302028,0.281507503,5.306229257,1.213985699,6.441686434,7.471845433,-47.53210761,8.527186048,21.52335242,1939.199,352.351733,20890
-0.095060303,0.091733038,0.132103791,0.286,-0.588,0.874,-0.072364674,0.16409712,4.451045633,1.216117488,5.412994434,6.28476485,-55.57117079,8.594671251,21.64724232,1946.835,357.404907,20880
-0.095293262,0.089884212,0.130996097,0.305,-0.701,1.006,-0.073620316,0.20739392,5.351304488,1.213244964,6.492443222,7.521158889,-49.32917376,8.45631855,21.58473703,1951.606,351.436336,20870
-0.09569751,0.091693339,0.132535587,0.364,-0.625,0.989,-0.094139448,0.206213837,4.715714585,1.218202251,5.744694124,6.683209092,-49.14119845,8.605702144,21.75383955,1959.885,359.745163,20860
-0.093978613,0.090490248,0.130462503,0.256,-0.676,0.932,-0.068506468,0.125389055,5.181565456,1.215959719,6.300574878,7.319260957,-52.95408711,8.478284743,21.39104052,1924.682,348.579118,20850
-0.095079688,0.090944627,0.131571547,0.31,-0.579,0.889,-0.070286846,0.096865053,4.400647493,1.216429192,5.353076076,6.224254137,-55.13207804,8.423894049,21.64970034,1947.232,354.530756,20840
-0.09510415,0.090686946,0.131411269,0.281,-0.522,0.803,-0.043534469,0.040039442,3.972262073,1.213291595,4.819512186,5.593099544,-61.3690556,8.503010059,21.6009146,1947.733,353.667515,20830
-0.094612549,0.090511714,0.130934735,0.278,-0.586,0.864,-0.061298397,0.083136955,4.475512182,1.214161914,5.433996437,6.304418272,-56.91523068,8.442989295,21.5209063,1937.665,351.107169,20820
-0.095423779,0.091200392,0.131997004,0.286,-0.598,0.884,-0.11711412,0.208163795,4.530405848,1.217356079,5.5151171,6.400591174,-55.57991777,8.472842241,21.7145596,1954.279,356.827323,20810
-0.094947559,0.091332618,0.131744776,0.31,-0.635,0.945,-0.091280503,0.151866451,4.819925455,1.216982526,5.865765055,6.80860799,-51.6564834,8.448708461,21.64967491,1944.526,355.46493,20800
-0.094505273,0.090932056,0.131148334,0.281,-0.542,0.823,-0.047943374,0.086937841,4.132725006,1.214630771,5.019734962,5.827968444,-59.74385169,8.380254009,21.56228904,1935.468,352.253656,20790
-0.095193213,0.091635363,0.132131705,0.273,-0.667,0.94,-0.113759582,0.212913714,5.047993593,1.218353671,6.150241527,7.146149544,-51.75674089,8.560930702,21.67604614,1949.557,357.555967,20780
-0.095133252,0.09019451,0.13109304,0.315,-0.718,1.033,-0.08855768,0.241475121,5.477026077,1.213241369,6.644954614,7.698190533,-47.97216508,8.466584832,21.57832589,1948.329,351.956689,20770
-0.095408838,0.091822273,0.132416676,0.278,-0.557,0.835,-0.080589997,0.088347893,4.20641883,1.216917035,5.11886273,5.948731405,-58.29601819,8.468838085,21.76704349,1953.973,359.099927,20760
-0.094723242,0.090855317,0.131252357,0.291,-0.532,0.823,-0.033138907,0.04934497,4.053260541,1.212811296,4.915840168,5.702154647,-59.45730202,8.514114842,21.54246438,1939.932,352.812672,20750
-0.09490293,0.090325106,0.131015995,0.281,-0.652,0.933,-0.097020134,0.181899137,4.976491615,1.216049146,6.051658376,7.024837176,-52.81121013,8.431870465,21.5615606,1943.612,351.54311,20740
-0.094691992,0.091325721,0.131555922,0.269,-0.696,0.965,-0.102122009,0.182545185,5.290525784,1.216992352,6.438529418,7.476145376,-50.56659103,8.403511628,21.62088783,1939.292,354.446556,20730
-0.095038867,0.09210219,0.132345003,0.308,-0.596,0.904,-0.055140626,0.153839155,4.503381226,1.215642482,5.47450153,6.35993971,-53.5566601,8.451530974,21.73149913,1946.396,358.71129,20720
-0.095346826,0.092180378,0.132620659,0.298,-0.615,0.913,-0.06957966,0.121346078,4.637286548,1.216647161,5.641941514,6.555877,-53.17386566,8.568633169,21.74767488,1952.703,360.207141,20710
-0.095078711,0.090203195,0.131059443,0.432,-0.571,1.003,-0.067704956,0.210333878,4.356801664,1.214383038,5.29082604,6.137949501,-49.22464983,8.489874428,21.55998172,1947.212,351.77631,20700
-0.094525439,0.091828215,0.131785734,0.261,-0.52,0.781,-0.064485709,0.063283123,3.945798862,1.217852503,4.805401022,5.592053133,-62.11593001,8.580024115,21.56516995,1935.881,355.685985,20690
-0.094743408,0.091639037,0.13181057,0.293,-0.781,1.074,-0.116669707,0.481329146,5.925169725,1.218814568,7.221683182,8.387165721,-45.34873782,8.612153503,21.57506867,1940.345,355.820061,20680
-0.095573975,0.090354953,0.13152339,0.305,-0.63,0.935,-0.089032773,0.259563715,4.790022509,1.21544679,5.822017482,6.759775582,-52.98361991,8.354302825,21.71518118,1957.355,354.271277,20670
-0.09534624,0.091245228,0.131971956,0.261,-0.757,1.018,-0.094305162,0.164811125,5.736067131,1.216573933,6.978349748,8.111816983,-47.94878288,8.397717062,21.73361634,1952.691,356.691911,20660
